"ZIPCODE","state","Total.population","TRI"
35470,"AL",0.5308,2.3629539655
35477,"AL",0.0184,1.3137945039
36901,"AL",0.0452,2.0479266175
36907,"AL",0.2133,3.402068264
36925,"AL",0.3481,2.5590348194
35014,"AL",0.4023,4.0205417927
35032,"AL",0.0063,1.4236111111
35044,"AL",0.7396,5.0998360144
35096,"AL",0.7756,3.7594602038
35149,"AL",0.0649,5.9566540722
35150,"AL",1.9612,4.6895370033
35151,"AL",0.7307,5.8204346508
35160,"AL",2.6177,6.8975278973
36268,"AL",0.5343,5.6321097561
35010,"AL",2.1019,4.6321321321
36256,"AL",0.1828,4.7507457577
36850,"AL",0.2712,4.3829004363
36853,"AL",0.7988,4.8888859618
36861,"AL",0.3262,4.5883531792
35401,"AL",3.6621,1.0167915724
35404,"AL",2.1484,5.3123308983
35405,"AL",4.3643,4.1219521045
35406,"AL",1.5314,7.0868951716
35444,"AL",0.4019,8.8785568638
35446,"AL",0.169,4.0599181384
35452,"AL",0.3451,5.6250553734
35453,"AL",1.133,5.9511847112
35456,"AL",0.2849,6.5460693037
35457,"AL",0.0046,3.3812329235
35458,"AL",0.0488,4.8201241293
35463,"AL",0.1421,3.0668668927
35473,"AL",1.5712,4.8818545487
35475,"AL",1.5482,6.4751734764
35476,"AL",0.7416,2.1380081301
35480,"AL",0.1444,3.9869118452
35490,"AL",0.4178,5.6007871972
35063,"AL",0.3851,8.4037805738
35130,"AL",0.3045,8.5831907332
35148,"AL",0.2779,4.1656343844
35501,"AL",1.0754,4.8837107613
35503,"AL",0.852,3.9950648578
35504,"AL",1.3055,5.2571616994
35549,"AL",0.4338,7.3808918024
35550,"AL",0.5,8.7218778062
35554,"AL",0.113,5.6144524237
35578,"AL",0.5719,5.1557523578
35579,"AL",0.3367,8.7404023118
35580,"AL",0.406,8.349701535
35584,"AL",0.0362,3.4611742424
35587,"AL",0.1336,8.622011083
36513,"AL",0.053,1.6989731438
36518,"AL",0.2471,2.3010316067
36529,"AL",0.0288,2.0796886072
36538,"AL",0.0474,3.5826433764
36539,"AL",0.091,1.9063983419
36548,"AL",0.109,2.0006836068
36553,"AL",0.3837,2.2734385013
36556,"AL",0.0095,1.2599772875
36558,"AL",0.3746,3.1744752297
36569,"AL",0.098,3.5576959701
36581,"AL",0.0287,0.6306476232
36583,"AL",0.0568,2.2801021919
36584,"AL",0.0882,2.2689153256
36585,"AL",0.1085,2.3114386116
36435,"AL",0.04,1.4891229098
36720,"AL",0.0593,3.4160017131
36722,"AL",0.0486,3.6265922401
36723,"AL",0.01,1.112627197
36726,"AL",0.5188,3.5702836706
36728,"AL",0.0482,2.0509064297
36751,"AL",0.0677,3.7882800079
36753,"AL",0.0032,3.1522709627
36766,"AL",0.0019,3.6004531722
36768,"AL",0.1039,3.4233333006
36769,"AL",0.3011,3.1714543193
35540,"AL",0.2459,7.6293953488
35541,"AL",0.322,6.6671970624
35553,"AL",0.4587,6.5496481318
35565,"AL",1.2539,7.5250988895
35572,"AL",0.0996,8.1613979549
35575,"AL",0.1038,7.043649815
35577,"AL",0.0032,7.0778963415
85920,"AZ",0.039,13.4021129961
85924,"AZ",0.2713,3.2594750671
85925,"AZ",0.4894,9.7166015625
85927,"AZ",0.0067,9.9069573431
85930,"AZ",0.1081,9.3235299554
85932,"AZ",0.04,13.0050199562
85936,"AZ",0.4406,3.0189395684
85938,"AZ",0.2091,6.093512522
85940,"AZ",0.1284,5.5818527563
86502,"AZ",0.1535,3.1443949187
86503,"AZ",1.0866,7.0785262047
86504,"AZ",0.6549,8.0040869456
86505,"AZ",0.819,3.9948823937
86506,"AZ",0.1511,5.2490179836
86507,"AZ",0.2415,11.448443029
86508,"AZ",0.096,7.2394177298
86511,"AZ",0.3338,4.680259793
86512,"AZ",0.2704,3.150547149
86514,"AZ",0.2444,8.7841107474
86515,"AZ",0.4741,7.1372197494
86535,"AZ",0.1105,3.5373278158
86538,"AZ",0.2563,3.1587664835
86540,"AZ",0.0887,5.6225680389
86544,"AZ",0.1452,12.0059121469
86545,"AZ",0.15,4.9550510239
86547,"AZ",0.1253,4.6246517148
86556,"AZ",0.1901,8.5571990504
85602,"AZ",0.8912,9.7090366481
85603,"AZ",0.6946,12.6124056871
85605,"AZ",0.0463,6.7569774818
85606,"AZ",0.1328,4.3253195625
85607,"AZ",1.7229,9.798608662
85608,"AZ",0.5119,0.93375
85609,"AZ",0.0384,8.9098030155
85610,"AZ",0.1063,5.1384807836
85613,"AZ",0.5743,12.7385349026
85615,"AZ",0.9481,11.3839273467
85616,"AZ",0.5403,3.8404723069
85617,"AZ",0.1354,1.6871488386
85620,"AZ",0.0884,1.0391949153
85625,"AZ",0.1602,6.1289073461
85626,"AZ",0.0867,0.6488486842
85627,"AZ",0.101,3.3693559557
85630,"AZ",0.265,4.9996729952
85632,"AZ",0.0887,10.6263348443
85635,"AZ",3.585,2.3345459065
85638,"AZ",0.2146,6.438232647
85643,"AZ",0.8934,11.4887553716
85650,"AZ",1.4324,1.9327337721
85931,"AZ",0.0157,7.8742348935
86001,"AZ",4.2401,7.0886615833
86004,"AZ",3.6811,5.4799643253
86011,"AZ",0.695,2.5008561644
86015,"AZ",0.03,2.1924369748
86016,"AZ",0.0078,5.7615896492
86017,"AZ",0.0733,10.0203043593
86018,"AZ",0.067,4.6784927556
86020,"AZ",0.2263,7.5147629643
86022,"AZ",0.2828,7.2144864171
86023,"AZ",0.1707,30.6421109332
86024,"AZ",0.0522,7.7989034231
86035,"AZ",0.1758,2.0575992195
86036,"AZ",0.0291,12.0344431456
86038,"AZ",7e-04,3.3085497096
86040,"AZ",1.0305,6.120449976
86044,"AZ",0.3933,12.5518443928
86045,"AZ",1.2507,4.2257740769
86046,"AZ",0.6227,6.2695062839
86052,"AZ",0.0016,30.9412712977
86053,"AZ",0.2388,10.4092263724
86435,"AZ",0.0126,23.378975896
85501,"AZ",1.3366,18.0737977296
85539,"AZ",0.5367,17.2408606323
85541,"AZ",2.1784,18.6530784605
85542,"AZ",0.3695,11.4923191228
85544,"AZ",0.1604,20.9184359986
85545,"AZ",0.0577,20.3276762402
85550,"AZ",0.499,15.4676568049
85553,"AZ",0.155,18.0203571269
85554,"AZ",0.0426,19.3467238452
85530,"AZ",0.1734,12.2490703833
85531,"AZ",0.0422,0.6339187706
85536,"AZ",0.0517,11.0187209939
85543,"AZ",0.3476,12.4245546332
85546,"AZ",2.0027,11.4452649419
85551,"AZ",0.0445,1.6381325933
85552,"AZ",0.6278,2.7913592233
85533,"AZ",0.2952,21.0118218582
85534,"AZ",0.2774,9.9192434645
85540,"AZ",0.3028,21.5853037468
85922,"AZ",0.0046,22.5971426615
85325,"AZ",0.0802,4.2265541093
85328,"AZ",0.0285,7.1961231732
85334,"AZ",0.1051,3.0048123952
85344,"AZ",0.9709,6.4385685015
85346,"AZ",0.4298,6.4557223251
